edad,educ,wage
37,1,1820.8220250808465
47,6,3406.3466061900886
27,3,2932.7542847941277
59,3,3709.3994716367743
61,4,2748.792521353516
66,9,2523.160512774922
42,11,3299.764043148086
32,6,3142.0978378747686
77,3,2308.2337854236243
40,3,1082.39382008555
55,5,2554.5962095044665
27,14,2861.855871200797
59,12,2320.2029412567654
20,6,2685.3756349622877
65,13,2884.3206609454683
75,3,1353.3971776178746
29,0,2277.812492298032
44,1,3398.1139107273966
39,10,2402.7487781241834
19,9,1083.5285550981257
43,5,3512.5093068590013
37,4,3008.2144137666132
48,8,2958.0539126954795
27,12,3079.846783913938
69,5,3399.433707141934
39,13,2301.212665466449
75,0,2356.608502140374
44,7,2674.9146234493396
52,6,2087.498053636704
61,0,2897.5770456467726
36,1,2070.0375393245045
42,2,2135.089639122362
76,11,2850.0289331107983
42,0,944.3042783703447
46,11,2655.292533875501
54,9,2746.634458059205
26,7,3413.5769686942335
20,11,2611.9884866439215
60,13,2591.5301428381504
50,4,3096.6852041644925
74,1,3553.654149078388
67,0,2596.808035015088
73,14,2941.7238800826854
23,8,2097.418468113406
66,2,1817.8818176894883
22,4,2519.9133793745514
70,10,2122.276718834442
53,12,2638.971107379727
46,12,2543.2203214790425
18,10,2410.283014856881
40,12,2736.330351508125
72,5,3598.0010910186
53,0,2035.6591622567564
37,11,2412.7977893594552
37,7,3422.542112933413
23,4,2690.900826142702
72,3,3066.8219051895103
32,6,1635.7338661862764
54,9,2609.172117079233
23,11,2844.027262780316
25,3,2366.2779782197313
33,11,3762.2101215941334
20,11,2311.749411921893
63,8,1830.2512312283357
68,0,2332.6792022425766
30,8,2708.772168975567
25,1,2733.2300275542643
20,11,2555.5942303094585
70,5,2706.396324907619
79,8,2042.9219053451689
34,6,3548.6988672007055
42,6,2864.5452072792414
55,10,2328.907285852609
30,10,1923.8476887749553
49,2,3020.3842987670796
29,1,2740.799505482615
37,14,1254.5058791235483
55,12,1823.1503921329909
53,6,3553.868209064877
26,14,1704.336336278078
47,12,3295.3535076847265
52,6,3400.1770041407635
20,5,3321.4439825000163
33,5,2915.928125065273
52,0,2214.6601592304096
58,5,1395.800093234792
43,8,2937.0943224145503
18,9,3691.104547685564
63,3,2151.2432346475684
76,5,2143.325174338242
63,9,2168.98516012388
30,3,2251.3893579204946
43,10,1968.970286382918
41,8,2882.303029950902
29,11,2536.5309458982524
62,11,2192.4886889258637
75,8,3053.30579461459
31,5,2522.3207625426794
45,14,2179.6653003309475
21,10,2283.3667110135025
22,0,2931.8051926510357
26,13,2768.792112286025
66,13,2394.6778221666455
23,11,2883.0676890418326
31,3,2006.2816080268578
34,5,1980.056982432737
39,4,1813.2059955749774
66,1,3458.8358470661674
55,3,2051.4107842540684
53,10,1385.9797958115123
40,2,2883.684916524253
60,5,2597.7917355602835
68,10,3729.2327826921246
43,12,2549.2189532662096
60,9,3029.6408262519703
65,3,2343.6548860774815
48,12,2193.387612937486
21,3,1935.2322643051525
44,1,1695.4887355487836
50,11,1440.6459702709499
60,8,2839.381797037133
48,4,3219.343104905732
47,8,2724.092350968955
39,9,1779.8725586826604
51,11,2535.0310094785223
71,3,2424.38882236707
25,14,3050.4387918042744
52,3,2118.786369981876
32,14,2651.488815159249
51,4,2797.660535806564
48,9,2153.8904713633933
65,8,2388.1651322222406
66,2,2692.8131768454296
24,5,1921.036366286358
71,11,2881.360560205414
60,7,1810.4300878953877
74,13,1778.8072113602811
56,13,2688.329589506872
39,3,2949.1653067124857
20,6,2259.679752007099
51,13,2812.073199575495
47,0,1594.2866213529599
35,7,1702.629413909454
28,12,2771.2573492403044
70,13,2938.5047399242612
45,4,1706.428325359795
46,9,2534.6412776791067
27,7,2450.405066658412
64,14,2941.229147542923
28,12,1769.6200221230447
43,7,2434.605010500178
30,10,1723.0453500818585
30,12,846.4607478603732
50,7,1599.3071513410532
65,12,2547.2485465851732
41,3,2990.5635605864923
68,9,3002.814736439974
70,9,2971.5819165963467
25,5,1950.3642836249865
36,2,2290.492974585917
25,5,2440.3892594162476
60,10,1989.391197053169
49,10,3104.684311301828
24,8,2116.745455694484
18,3,2564.0348214823684
33,11,2612.476087599884
70,1,2139.6358062911636
77,6,2083.780255513607
45,1,2119.5596913199724
39,2,2531.1265315960386
21,13,2461.8562493427194
36,13,3321.9337596979863
22,0,2818.40150833107
68,4,2203.879631520759
30,12,3455.4573198596336
22,12,1913.3267399999709
73,8,2006.6874376619242
45,2,2628.2301896384583
33,12,3096.6143967723024
19,13,1464.9686204672385
